id;end_date;rsp;start_date;value;product_id
1;NULL;119;2021-01-01;63.8;1
2;NULL;49;2021-01-01;12.1;2
3;NULL;189;2021-01-01;63.38;3
4;NULL;68;2021-01-01;16.49;4
5;NULL;27.66;2021-01-01;10;5
6;NULL;39;2021-01-01;12.02;6
7;NULL;39;2021-01-01;11;7
8;NULL;39;2021-01-01;14.15;8
9;NULL;88;2021-01-01;32;9
10;NULL;39;2021-01-01;14.41;10
11;NULL;39;2021-01-01;14.24;11
12;NULL;39;2021-01-01;13.71;12
13;NULL;25;2021-01-01;9.15;13
14;NULL;27.8;2021-01-01;12.13;14
15;NULL;33.12;2021-01-01;13.26;15
16;NULL;59;2021-01-01;12.5;16
17;NULL;;2021-01-01;51.2;17
18;NULL;119;2021-01-01;34.16;18
19;NULL;36;2021-01-01;9.36;19
20;NULL;28;2021-01-01;9.66;20
21;NULL;53;2021-01-01;14.73;21
22;NULL;53;2021-01-01;15.14;22
23;NULL;53;2021-01-01;15.64;23
24;NULL;53;2021-01-01;13.69;24
25;NULL;53;2021-01-01;16.16;25
26;NULL;53;2021-01-01;13.31;26
27;NULL;41;2021-01-01;9.79;27
28;NULL;41;2021-01-01;10.68;28
29;NULL;53;2021-01-01;14.29;29
30;NULL;41;2021-01-01;10;30
31;NULL;79;2021-01-01;17.18;31
32;NULL;47;2021-01-01;13.2;32
33;NULL;18;2021-01-01;8.6;33
34;NULL;37.25;2021-01-01;13.9;34
35;NULL;39;2021-01-01;19;35
36;NULL;33;2021-01-01;13.64;36
37;NULL;45;2021-01-01;13.32;37
38;NULL;43;2021-01-01;13.19;38
39;NULL;74;2021-01-01;25.1;39
40;NULL;34.9;2021-01-01;12.65;40
41;NULL;42;2021-01-01;13.85;41
42;NULL;74;2021-01-01;26.2;42
43;NULL;38;2021-01-01;13.14;43
44;NULL;28;2021-01-01;12.75;44
45;NULL;3.5;2021-01-01;0.84;45
46;NULL;28;2021-01-01;10.51;46
47;NULL;31;2021-01-01;12.1;47
48;NULL;8;2021-01-01;5.89;48
49;NULL;5;2021-01-01;2.53;49
50;NULL;5;2021-01-01;2.53;50
51;NULL;6;2021-01-01;2.93;51
52;NULL;23;2021-01-01;8.2;52
53;NULL;30;2021-01-01;18.5;53
54;NULL;24;2021-01-01;10.15;54
55;NULL;24;2021-01-01;13.24;55
56;NULL;26;2021-01-01;17.71;56
57;NULL;26;2021-01-01;13.97;57
58;NULL;45;2021-01-01;28;58
59;NULL;3.5;2021-01-01;2.25;59
60;NULL;3.5;2021-01-01;2.25;60
61;NULL;3.5;2021-01-01;2.25;61
62;NULL;3.5;2021-01-01;2.25;62
63;NULL;3.8;2021-01-01;2.35;63
64;NULL;45;2021-01-01;15.45;64
65;NULL;13;2021-01-01;3.9;65
66;NULL;13;2021-01-01;3.9;66
67;NULL;13;2021-01-01;3.9;67
68;NULL;13;2021-01-01;3.9;68
69;NULL;45;2021-01-01;24.1;69
70;NULL;43;2021-01-01;23.4;70
71;NULL;16;2021-01-01;7.9;71
72;NULL;13;2021-01-01;3;72
73;NULL;14;2021-01-01;4.7;73
74;NULL;12;2021-01-01;4.5;74
75;NULL;12;2021-01-01;3.15;75
76;NULL;13;2021-01-01;4.02;76
77;NULL;12;2021-01-01;4.96;77
78;NULL;11;2021-01-01;3.9;78
79;NULL;14;2021-01-01;4.6;79
80;NULL;15;2021-01-01;4.6;80
81;NULL;13;2021-01-01;4.2;81
82;NULL;12;2021-01-01;3.7;82
83;NULL;24;2021-01-01;9.5;83
84;NULL;17;2021-01-01;3.9;84
85;NULL;12;2021-01-01;2.9;85
86;NULL;12;2021-01-01;2.85;86
87;NULL;12;2021-01-01;2.65;87
88;NULL;14;2021-01-01;2.85;88
89;NULL;13;2021-01-01;3.85;89
90;NULL;14;2021-01-01;3.95;90
91;NULL;14;2021-01-01;3.85;91
92;NULL;14;2021-01-01;3.95;92
93;NULL;12;2021-01-01;3.8;93
94;NULL;13;2021-01-01;3.9;94
95;NULL;12;2021-01-01;3.9;95
96;NULL;1.5;2021-01-01;0.81;96
97;NULL;1.5;2021-01-01;0.81;97
98;NULL;1.5;2021-01-01;0.81;98
99;NULL;1.5;2021-01-01;0.45;99
100;NULL;1.5;2021-01-01;0.29;100
101;NULL;1.5;2021-01-01;0.5;101
102;NULL;6;2021-01-01;3.15;102
103;NULL;6;2021-01-01;3.15;103
104;NULL;6;2021-01-01;3.5;104
105;NULL;8;2021-01-01;4.32;105
106;NULL;8;2021-01-01;5.83;106
107;NULL;8;2021-01-01;4.08;107
108;NULL;8;2021-01-01;4.32;108
109;NULL;8;2021-01-01;4;109
110;NULL;5;2021-01-01;1.29;110
111;NULL;5;2021-01-01;1.29;111
112;NULL;5;2021-01-01;1.29;112
113;NULL;5;2021-01-01;1.29;113
114;NULL;5;2021-01-01;1.29;114
115;NULL;5;2021-01-01;1.29;115
116;NULL;5;2021-01-01;1.29;116
117;NULL;28;2021-01-01;16.26;117
118;NULL;28;2021-01-01;16.26;118
119;NULL;28;2021-01-01;16.26;119
120;NULL;28;2021-01-01;16.26;120
121;NULL;28;2021-01-01;16.26;121
122;NULL;28;2021-01-01;16.26;122
123;NULL;28;2021-01-01;16.26;123
124;NULL;7;2021-01-01;4.55;124
125;NULL;7;2021-01-01;4.55;125
126;NULL;6;2021-01-01;3.7;126
127;NULL;45;2021-01-01;8.5;127
128;NULL;45;2021-01-01;10.5;128
129;NULL;45;2021-01-01;9.5;129
130;NULL;45;2021-01-01;10.4;130
131;NULL;45;2021-01-01;9.2;131
132;NULL;4;2021-01-01;2.4;132
133;NULL;4;2021-01-01;2.4;133
134;NULL;4;2021-01-01;2.4;134
135;NULL;4;2021-01-01;2.4;135
136;NULL;4;2021-01-01;2.4;136
137;NULL;4;2021-01-01;2.4;137
138;NULL;6;2021-01-01;3.52;138
139;NULL;12.5;2021-01-01;7.55;139
140;NULL;12.5;2021-01-01;7.35;140
141;NULL;7.5;2021-01-01;4.52;141
142;NULL;7.5;2021-01-01;4.43;142
143;NULL;7.5;2021-01-01;4.5;143
144;NULL;12.5;2021-01-01;7.95;144
145;NULL;16;2021-01-01;9.7;145
146;NULL;23;2021-01-01;15.25;146
147;NULL;7;2021-01-01;4.95;147
148;NULL;7;2021-01-01;4.96;148
149;NULL;6;2021-01-01;3.95;149
150;NULL;6;2021-01-01;4.13;150
151;NULL;3.9;2021-01-01;2.65;151
152;NULL;30;2021-01-01;20;152
